uprn,OS_lpi_address,OS_pao,OS_postcode,OS_max_height,OS_height_band,OS_max_epc_floor_level,OS_address_count,OS_property_type,OS_lucs_type_count,OS_title_number,OS_title_number_counts,OS_toid,OS_usrn,OS_custodian_name,OS_country,OS_easting,OS_northing
10000816586,"SANDRINGHAM COURT, ROTHERHITHE STREET, LONDON, SE16 5SQ",SANDRINGHAM COURT ROTHERHITHE STREET,SE16 5SQ,23.9,Over 18m,5,26,FLATS,RESIDENTIAL:26,{TGL105653},1,osgb1000041684961,22502127,SOUTHWARK,ENGLAND,535853,180465
200003497240,"RUMFORD HOUSE ROCKINGHAM ESTATE, BATH TERRACE, LONDON, SE1 6PW",RUMFORD HOUSE ROCKINGHAM ESTATE BATH TERRACE,SE1 6PW,18.3,Over 18m,4,25,FLATS,RESIDENTIAL:25,{SGL395833},1,osgb1000005889447,22500175,SOUTHWARK,ENGLAND,532203,179239
200003498884,"PYNFOLDS ESTATE, JAMAICA ROAD, LONDON, SE16 4NX",PYNFOLDS ESTATE JAMAICA ROAD,SE16 4NX,18.2,Over 18m,13,103,FLATS,RESIDENTIAL:103,{LN102715},1,osgb1000006172516,22501346,SOUTHWARK,ENGLAND,534748,179552
10013528437,"PROSPECT HOUSE, OLD JAMAICA ROAD, LONDON, SE16 4AE",PROSPECT HOUSE OLD JAMAICA ROAD,SE16 4AE,24.5,Over 18m,,9,FLATS,RESIDENTIAL:9,{TGL223347},1,osgb1000001769649652,22501840,SOUTHWARK,ENGLAND,534194.13,179338.78
200003499528,"METRO CENTRAL HEIGHTS, 119 NEWINGTON CAUSEWAY, LONDON, SE1 6BA",METRO CENTRAL HEIGHTS 119 NEWINGTON CAUSEWAY,SE1 6BA,62.2,Over 18m,21,496,RETAIL MIXED USE,"RESIDENTIAL:490, RETAILING:5",{TGL162084},1,osgb1000001769654904,22501798,SOUTHWARK,ENGLAND,532043.06,179168.94
200003755316,"MORTON HOUSE BRANDON ESTATE, OTTO STREET, LONDON, SE17 3NW",MORTON HOUSE BRANDON ESTATE OTTO STREET,SE17 3NW,20.1,Over 18m,5,39,FLATS,RESIDENTIAL:39,{LN107479},1,osgb1000005720018,22501879,SOUTHWARK,ENGLAND,531729,177759
200003498717,"MEDWAY HOUSE, HANKEY PLACE, LONDON, SE1 4BJ",MEDWAY HOUSE HANKEY PLACE,SE1 4BJ,18.4,Over 18m,3,27,FLATS,RESIDENTIAL:27,{TGL325191},1,osgb1000005887040,22501189,SOUTHWARK,ENGLAND,532789,179606
200003356822,"TALLWOOD LIMITED, LANGDALE HOUSE, 11 MARSHALSEA ROAD, LONDON, SE1 1EN",LANGDALE HOUSE 11 MARSHALSEA ROAD,SE1 1EN,18.8,Over 18m,,5,MULTI (RETAIL) COMMERCIAL,"OFFICES:5, RETAILING:1",{SGL138859},1,osgb1000005887780,22501670,SOUTHWARK,ENGLAND,532347,179771
10000816546,"KENSINGTON COURT, ROTHERHITHE STREET, LONDON, SE16 5SH",KENSINGTON COURT ROTHERHITHE STREET,SE16 5SH,19.3,Over 18m,3,3,FLATS,RESIDENTIAL:3,{TGL105653},1,osgb1000041684966,22502127,SOUTHWARK,ENGLAND,535875,180450
10094745531,"IDALINE COURT, QUEENS ROAD, LONDON, SE15 2UG",IDALINE COURT QUEENS ROAD,SE15 2UG,26.2,Over 18m,,5,FLATS,RESIDENTIAL:5,{TGL334569},1,osgb5000005255558677,22502028,SOUTHWARK,ENGLAND,534655.46,176851.1
