uprn,abp_postcode
200003400260,SE15 6TQ
200003380480,SE15 1DY
200003363714,SE1 3TJ
200003365172,SE1 4EE
10009794654,SE1 2FB
200003357490,SE1 2NT
200003360270,SE1 2EP
200003452656,SE5 0SY
200003457898,SE5 7DD
10090282981,SE1 0EF
200003430669,SE17 3UB
200003366840,SE1 4BW
200003426933,SE17 2QR
200003439858,SE22 0PU
200003426934,SE17 2QR
200003752644,SE5 7JE
10013525564,SE1 0NW
10093339996,SE1 3UN
200003401933,SE16 2HZ
200003426936,SE17 2QR
200003401934,SE16 2HZ
200003401935,SE16 2HZ
200003401820,SE16 2HX
200003401821,SE16 2HX
200003401939,SE16 2HZ
200003370246,SE1 5UX
200003367350,SE1 4UZ
200003402107,SE16 2JE
200003390680,SE15 3JA
200003402109,SE16 2JE
200003379884,SE15 1EN
200003370595,SE1 5PQ
200003390692,SE15 3JB
200003398928,SE15 6TY
200003401725,SE16 2HS
200003419438,SE17 1AA
200003427790,SE17 2JN
10013533806,SE16 3DG
200003749540,SE16 3PG
200003752889,SE5 8HX
200003752771,SE5 7QR
200003390242,SE15 3JL
200003753050,SE5 9HF
200003439870,SE22 0PU
200003749542,SE16 3PG
200003370480,SE1 5NZ
200003379896,SE15 1EN
200003401728,SE16 2HS
200003403187,SE16 2HP
200003401729,SE16 2HS
200003390248,SE15 3JL
200003426951,SE17 2QR
10091668223,SE17 2FX
200003375163,SE1 7QH
200003401956,SE16 2JA
200003360045,SE1 2BF
200003426959,SE17 2QR
200003442997,SE22 8PA
200003752100,SE22 8DB
200003431080,SE17 3EA
200003363791,SE1 3PL
200003401958,SE16 2JA
200003401840,SE16 2HX
200003367598,SE1 4YL
200003370260,SE1 5UX
200003401959,SE16 2JA
200003366301,SE1 4XF
200003370261,SE1 5UX
10013529970,SE16 4RJ
200003371700,SE1 5UR
10000810595,SE5 8HH
200003426940,SE17 2QR
200003363075,SE1 3BD
200003426949,SE17 2QR
200003439757,SE22 0PP
200003401948,SE16 2JA
200003439640,SE22 0PJ
200003401949,SE16 2JA
200003401831,SE16 2HX
200003401833,SE16 2HX
10000811563,SE1 9GZ
10009806238,SE1 4NH
10009805842,SE1 6DT
10009806120,SE1 4NG
200003403300,SE16 2HW
200003415720,SE16 6YJ
10090746953,SE1 0BL
200003371670,SE1 5NL
200003429151,SE17 3HH
200003429152,SE17 3HH
10091664622,SE1 9JW
200003357727,SE1 2XQ
200003373314,SE1 6QD
200003427297,SE17 2UF
200003433407,SE19 1LR
200003749498,SE16 3PF
200003752160,SE22 8AG
200003750702,SE17 2LQ
10013525183,SE16 6RJ
200003357610,SE1 2XG
200003427180,SE17 2UD
200003361120,SE1 3JT
10000813439,SE1 2NZ
200003358341,SE1 2NG
200003373650,SE1 6RH
200003427182,SE17 2UD
200003402180,SE16 2JF
200003413980,SE16 5EQ
200003402181,SE16 2JF
200003402183,SE16 2JF
200003371605,SE1 5NJ
200003437552,SE22 0JT
10013530768,SE1 3FG
200003477415,SE1 0SW
200003423900,SE17 2RN
200003423901,SE17 2RN
200003423902,SE17 2RN
200003363810,SE1 3LN
200003433380,SE19 1LP
200003364796,SE1 4DH
200003365074,SE1 4DW
200003371635,SE1 5NJ
200003376423,SE1 9PE
200003389348,SE15 3JT
200003396971,SE15 5HZ
200003424320,SE17 2HE
200003432006,SE17 3SX
200003431728,SE17 3PH
200003431610,SE17 3PG
200003452103,SE5 0XA
200003451825,SE5 0UF
200003748097,SE1 3EQ
200003750030,SE16 4SX
10094745249,SE1 2BS
10000812036,SE16 7BE
10013530343,SE16 3SG
10090284320,SE5 0AE
10090747533,SE15 4BH
200003371636,SE1 5NJ
200003359000,SE1 2UP
200003432791,SE17 3SU
10094745132,SE5 8UH
10009805920,SE1 4NE
200003356210,SE1 1XY
200003489970,SE16 2DN
200003485128,SE1 9DF
200003403830,SE16 2AF
200003448930,SE23 3RA
200003369470,SE1 5EZ
200003416512,SE16 7LX
200003452440,SE5 0YL
10000809818,SE1 1JJ
200003416788,SE16 7LA
200003416820,SE16 7LA
10013528403,SE16 4AF
10013528854,SE16 4BP
10013530905,SE1 9JF
10090285611,SE17 1JQ
10090286458,SE16 4ED
10090286340,SE16 4BF
200003402187,SE16 2JF
200003453955,SE5 0EB
200003357506,SE1 2NX
10093341186,SE1 2PR
200003365130,SE1 4DY
200003458610,SE5 7DH
200003372420,SE1 6HX
200003747875,SE1 3UL
200003409970,SE16 4UW
10092030870,SE1 9LX
200003454070,SE5 0LA
200003357566,SE1 2UD
10013533105,SE1 9DR
200003370221,SE1 5UU
200003379970,SE15 1ND
200003403260,SE16 2HW
200003356910,SE1 2JX
200003480950,SE21 7LG
200003411397,SE16 5HD
200003431494,SE17 3NQ
200003439612,SE22 0PJ
10000813154,SE1 1TL
200003401803,SE16 2HT
200003403262,SE16 2HW
200003415340,SE16 6PT
200003370224,SE1 5UU
200003403263,SE16 2HW
10000818679,SE15 6AU
200003749620,SE16 3PJ
200003753698,SE15 1RN
200003403264,SE16 2HW
200003403266,SE16 2HW
200003410890,SE16 4US
10013525310,SE16 4QJ
200003356802,SE1 1NY
200003358378,SE1 2LZ
200003357531,SE1 2UD
200003357649,SE1 2XJ
200003373236,SE1 6PU
200003400640,SE15 6AF
200003426372,SE17 2DS
200003457936,SE5 7DE
10013529694,SE1 3JB
200003465955,SE8 5DY
200003747844,SE1 1YX
200003748122,SE1 3PE
200003752082,SE22 8AW
200003750624,SE17 2LH
200003373570,SE1 6QQ
10000817869,SE1 2AS
10000818480,SE1 4TX
10009803128,SE16 4XL
10025191014,SE1 0BW
10090286007,SE1 1PZ
10091667477,SE16 4ER
200003365100,SE1 4DX
200003366280,SE1 4UP
10091667360,SE1 0FY
200003360313,SE1 2YQ
200003409940,SE16 4UU
10009803012,SE1 3EN
10013531550,SE15 3DJ
10090748740,SE16 2AZ
200003750960,SE17 3PJ
10009796490,SE1 1HL
10090749470,SE16 3GE
200003748126,SE1 3PE
200003355951,SE1 1YF
200003357076,SE1 2BL
200003371656,SE1 5NJ
200003389369,SE15 3JU
200003416773,SE16 7LA
200003436870,SE22 0BJ
10009798633,SE5 0SJ
10009805940,SE1 4NB
200003363971,SE1 4AL
200003354541,SE1 0TQ
200003403850,SE16 2AF
200003416779,SE16 7LA
200003412043,SE16 5NZ
200003354465,SE1 0TH
200003357194,SE1 2DR
200003452244,SE5 0XX
10000812958,SE16 5PR
200003418574,SE16 7HS
10013531435,SE17 3BA
10091666968,SE1 3RS
10094086550,SE17 1GA
200003357419,SE1 2LD
200003358030,SE1 2YS
200003365889,SE1 4LS
200003365438,SE1 4HH
200003409826,SE16 4UL
200003373340,SE1 6QG
200003373459,SE1 6QN
200003377400,SE1 9DS
200003409710,SE16 4DZ
200003360423,SE1 2AY
200003750199,SE16 7BL
200003412188,SE16 5NY
10090746632,SE1 8NZ
200003426900,SE17 2QR
200003426908,SE17 2QR
200003426909,SE17 2QR
200003430694,SE17 3UB
10009803823,SE16 2XG
200003403191,SE16 2HP
10009796518,SE1 3UT
200003395490,SE15 5AD
200003403193,SE16 2HP
200003403194,SE16 2HP
200003403195,SE16 2HP
200003439880,SE22 0PU
200003403196,SE16 2HP
200003439881,SE22 0PU
200003403197,SE16 2HP
200003375280,SE1 7XP
200003403198,SE16 2HP
200003426962,SE17 2QR
200003401960,SE16 2JA
200003401961,SE16 2JA
200003401962,SE16 2JA
200003401963,SE16 2JA
200003401854,SE16 2HX
200003401746,SE16 2HS
10009804453,SE1 0BQ
10009805182,SE1 4PD
10013529878,SE16 7AJ
10013531811,SE16 7AP
10013532540,SE1 6EJ
10013532658,SE1 0FF
10090287364,SE17 2FP
200003369584,SE1 5HT
10091664292,SE1 9EY
10091668018,SE1 6FD
10093342314,SE5 0AU
10009800814,SE1 1HR
10093343043,SE17 1FA
200003353736,SE1 0LT
200003475245,SE1 8HA
10094744378,SE1 9RS
200003390243,SE15 3JL
200003358524,SE1 2LF
200003358975,SE1 2JN
200003359253,SE1 2YJ
200003365814,SE1 4LP
200003402362,SE16 2NG
10090283566,SE17 1AF
200003378739,SE14 5BY
200003402029,SE16 2JB
200003410048,SE16 4XA
200003413711,SE16 5XS
200003415287,SE16 6PL
200003363924,SE1 3HJ
200003419797,SE17 1ED
200003422126,SE17 1BA
10013526336,SE1 0NZ
200003427365,SE17 2UG
200003454419,SE5 0LS
10009796892,SE5 8BQ
200003459207,SE5 7NA
200003462771,SE5 8QL
200003463167,SE5 8TH
200003749566,SE16 3PH
200003753075,SE5 9HG
200003751950,SE22 8BY
200003752346,SE22 8AP
200003422010,SE17 1AQ
10009791964,SE17 2RY
200003490105,SE1 2LY
200003749450,SE16 3PE
200003751501,SE21 8PY
200003752230,SE22 8AL
200003410809,SE16 4TE
10091667689,SE1 3FU
10093339032,SE1 9GJ
200003358473,SE1 2LJ
200003360975,SE1 2PP
200003369822,SE1 5NU
10091664270,SE5 0AQ
200003365763,SE1 4LN
200003366492,SE1 4YD
200003366159,SE1 4TD
200003373449,SE1 6QL
200003373782,SE1 6RN
200003378237,SE11 4AY
200003377508,SE1 9DX
10009806964,SE1 2YU
200003409818,SE16 4UJ
200003409700,SE16 4TA
10090283883,SE1 3FJ
10094086916,SE1 1LL
200003433424,SE19 1LS
200003748786,SE15 5EF
200003750837,SE17 3NN
200003752295,SE22 8AN
200003454368,SE5 0LR
10013531310,SE17 3BY
10090749680,SE1 0NR
200003385410,SE15 2AB
200003420500,SE17 1RE
200003747940,SE1 3DL
200003750720,SE17 2RB
200003458310,SE5 7JN
200003474018,SE1 8HA
200003358081,SE1 2BU
200003396935,SE15 5EJ
200003486269,SE1 2PX
200003420676,SE17 1TG
200003424735,SE17 2PJ
200003436813,SE22 0BG
200003433483,SE19 1LW
200003750445,SE16 7BD
200003750896,SE17 3PE
10091665722,SE16 3UL
10091666451,SE17 1AS
10091666569,SE17 3AF
10090751457,SE16 3SL
200003461150,SE5 8AY
200003458370,SE5 7JW
200003412510,SE16 5SQ
200003750780,SE17 2RE
10009799307,SE15 5TT
200003425016,SE17 2RP
200003424620,SE17 2LR
200003431910,SE17 3SG
200003751060,SE17 3PQ
10090285350,SE1 0BJ
10093340300,SE15 2PX
200003422250,SE17 1BL
200003469610,SE1 0AP
10009799986,SE1 9BH
10009803061,SE1 4NY
10009806842,SE1 3TY
10009807571,SE1 3PP
10013528486,SE16 4AQ
10013530870,SE1 9FU
10013530988,SE1 9NX
200003424485,SE17 2JF
10094085652,SE15 1AR
200003357132,SE1 2BN
200003357583,SE1 2XG
200003364422,SE1 4AA
200003364873,SE1 4DL
200003369328,SE1 5EU
200003372892,SE1 6JR
200003373170,SE1 6PR
200003373288,SE1 6PX
200003371712,SE1 5XB
200003389425,SE15 3JX
200003400359,SE15 6TT
200003404418,SE16 2QE
200003409990,SE16 4UX
200003424515,SE17 2JL
200003451902,SE5 0UJ
200003747896,SE1 3DJ
200003748174,SE1 3NT
10090287052,SE1 8JU
200003457988,SE5 7DN
200003461497,SE5 8ER
200003380010,SE15 1NE
10000810502,SE5 7EB
200003409540,SE16 4SJ
200003420790,SE17 1TP
200003420340,SE17 1QS
200003750560,SE17 2LF
10009799420,SE1 4LB
10090284850,SE16 7BY
200003396600,SE15 5SX
200003424400,SE17 2HG
200003748177,SE1 3NU
200003396601,SE15 5SY
200003748060,SE1 3EG
200003357470,SE1 2NR
200003748210,SE1 3NX
200003357620,SE1 2XH
200003748211,SE1 3NX
200003748212,SE1 3NX
200003748213,SE1 3NX
200003748214,SE1 3NX
200003748215,SE1 3NX
10093338635,SE5 8AZ
200003748216,SE1 3NX
200003360857,SE1 2PA
200003366374,SE1 4XQ
200003405974,SE16 3LX
200003748217,SE1 3NX
10094084120,SE5 8UH
200003448770,SE23 3PL
200003375420,SE1 8DF
200003403220,SE16 2HR
200003403221,SE16 2HR
200003432184,SE17 3TF
200003363195,SE1 3LW
10013527290,SE1 0FB
200003483846,SE1 8QU
200003379932,SE15 1ES
200003403224,SE16 2HR
10094085190,SE1 1UN
200003401876,SE16 2HY
200003401877,SE16 2HY
200003401878,SE16 2HY
200003353864,SE1 0PY
200003357923,SE1 2DW
200003370298,SE1 5UY
200003379596,SE15 1UQ
200003402157,SE16 2JF
200003410176,SE16 4NU
200003433603,SE19 1SR
200003474644,SE1 4JB
200003461414,SE5 8DR
200003748514,SE1 5SA
200003413840,SE16 5QF
200003752024,SE22 8AE
10009788410,SE1 4TQ
10013529890,SE5 8FB
10090749410,SE16 3GE
200003401764,SE16 2HT
200003452400,SE5 0YE
200003748850,SE15 6UU
10090285920,SE17 1AJ
200003401765,SE16 2HT
200003426650,SE17 2HU
10093339667,SE1 2BZ
200003354480,SE1 0TJ
200003361770,SE1 3YB
200003357810,SE1 2XS
200003401766,SE16 2HT
200003753090,SE5 9NL
200003401767,SE16 2HT
200003458285,SE5 7BE
200003354031,SE1 0RH
10000810194,SE5 8TR
10013525270,SE16 4QJ
200003463070,SE5 8TE
200003354371,SE1 0UX
200003458878,SE5 7BG
200003353982,SE1 0QB
200003358770,SE1 2BQ
200003399027,SE15 6UA
200003402275,SE16 2LT
10013527928,SE1 1EP
200003420914,SE17 1TW
200003427160,SE17 2TW
200003751863,SE22 8BT
200003463050,SE5 8TD
200003752141,SE22 8DD
10009803638,SE1 3HP
200003401880,SE16 2HY
200003439690,SE22 0PL
200003363699,SE1 3TJ
200003370420,SE1 5NT
200003368036,SE1 4PF
200003409094,SE16 4LG
200003439811,SE22 0PP
10009801041,SE5 7UD
10009804822,SE17 1TF
10013527195,SE15 1AJ
10090282945,SE1 3FH
10091664779,SE16 7LF
200003439812,SE22 0PP
200003375329,SE1 8UX
200003439815,SE22 0PP
200003375551,SE1 8QX
200003375218,SE1 7QQ
200003376280,SE1 9JY
200003379728,SE15 1BL
200003390860,SE15 3JQ
200003396044,SE15 5EQ
200003404080,SE16 2PD
200003410308,SE16 4PQ
200003411370,SE16 5RQ
200003419606,SE17 1DE
200003427625,SE17 2UW
200003431585,SE17 3PF
200003749826,SE16 3NU
200003439703,SE22 0PL
10009805443,SE1 3JE
10090750170,SE1 3LW
10009792619,SE1 3UY
10013526358,SE17 3BU
10013532919,SE1 3RB
10013533648,SE15 6FN
10090284295,SE5 0SE
10091664553,SE1 0FT
10091664102,SE16 3FL
200003363023,SE1 3BB
10000816597,SE15 5LP
200003367533,SE1 4WZ
200003375101,SE1 7QE
200003752940,SE5 8DP
10000811165,SE1 3EB
200003489495,SE1 2BE
10009800540,SE1 3DF
200003751756,SE22 8BH
200003751822,SE22 8BP
10009794749,SE1 8ND
10090284161,SE1 0AJ
10090284889,SE16 7BW
200003359185,SE1 2LY
10090286285,SE16 4AZ
10090746789,SE17 3DG
10090287625,SE1 3NJ
10090746831,SE17 3DB
10090747374,SE1 6AY
10090748080,SE15 6FS
10090748998,SE17 2QB
10090750764,SE1 2QX
10090750590,SE1 2SE
10090750507,SE1 2SA
10094745270,SE1 2JR
200003753361,SE22 8BS
10090751405,SE16 4EN
10090751340,SE16 4EP
200003751745,SE22 8BU
10091664168,SE1 1RQ
10091667610,SE1 0QR
10090747859,SE1 2QN
200003752063,SE22 8AR
10091665445,SE22 8AD
200003752051,SE22 8AF
10093341280,SE15 2UE
10091666874,SE17 1BB
10091666826,SE17 1BS
10091667238,SE1 0LR
10091667077,SE1 0FU
10091667320,SE1 2TH
10091667443,SE1 6FG
10093338144,SE11 4FB
10093338303,SE11 4FE
10093338642,SE1 2LP
10000812724,SE1 9RL
10093340865,SE1 5XQ
10093340644,SE1 3QP
10093341010,SE5 7FS
10093340980,SE1 1HL
10093341714,SE5 0AT
10091983835,SE1 9DG
10093342698,SE1 8EF
10009799642,SE1 4PG
200003457184,SE5 7NB
200003455481,SE5 7HD
200003455408,SE5 7HA
10094743556,SE1 8HA
200003357982,SE1 2HL
10090283770,SE1 0PZ
200003497416,SE1 0AH
10090287135,SE16 3SA
10093339772,SE1 1LL
200003355170,SE1 1TE
10094085204,SE1 8NW
200003355644,SE1 1NZ
10093339357,SE1 0HS
200003355772,SE1 1PJ
200003356050,SE1 1YQ
200003356185,SE1 1EJ
10090286686,SE1 1NL
200003357055,SE1 2BJ
200003500569,SE1 2UN
200003357512,SE1 2NX
200003357780,SE1 2XS
200003358791,SE1 2JG
200003359998,SE1 2JE
200003359400,SE1 2YE
200003359230,SE1 2AZ
200003360219,SE1 2ED
200003360090,SE1 2NB
200003360288,SE1 2EB
200003359965,SE1 2PT
200003360762,SE1 2FB
200003360040,SE1 2TU
200003360910,SE1 2PJ
200003363723,SE1 3TJ
200003364900,SE1 4DN
200003365008,SE1 4DU
200003367984,SE1 4PU
200003366340,SE1 4XG
200003366830,SE1 4BN
200003370290,SE1 5UY
200003372191,SE1 5NA
200003372422,SE1 6JP
200003373200,SE1 6PT
200003373765,SE1 6RL
200003374111,SE1 6PJ
200003373833,SE1 6RP
10093340213,SE1 6LF
200003374990,SE1 7QL
